Wall time,Step,Value
1747884165.3111682,2096,-202.57318115234375
1747884381.4408605,2124,-76.65267181396484
1747884473.968725,2136,-192.56283569335938
1747884506.000772,2140,-216.46731567382812
1747884567.1881034,2148,-211.13668823242188
1747884598.3215826,2152,-208.5134735107422
1747884630.0955744,2156,-169.5948944091797
1747884660.4624243,2160,-127.52690887451172
1747884691.437761,2164,-188.76101684570312
1747884753.7768035,2172,-207.77462768554688
1747884784.0336866,2176,-152.12335205078125
1747884815.080171,2180,-224.51492309570312
1747884876.6958237,2188,-185.98294067382812
1747884906.9336946,2192,-191.342529296875
1747884999.9015746,2204,-156.95697021484375
1747885062.9235735,2212,-138.60137939453125
1747885124.3941667,2220,-209.3658905029297
1747885155.4441464,2224,-165.86013793945312
1747885186.3346312,2228,-139.89903259277344
1747885373.8711843,2252,-36.965843200683594
1747885405.2174447,2256,-219.0026397705078
1747885436.386857,2260,-211.3522491455078
1747885559.7696242,2276,-202.60507202148438
1747885660.087962,2288,-256.0
1747885726.68368,2296,-256.0
1747885826.7470963,2308,-256.0
1747885956.2681143,2324,-256.0
1747886085.0468254,2340,-256.0
1747886117.7682927,2344,-256.0
1747886150.6781597,2348,-256.0
1747886217.2120624,2356,-256.0
1747886250.623288,2360,-256.0
1747886283.8700464,2364,-256.0
1747886317.1612482,2368,-256.0
1747886350.3349428,2372,-256.0
1747886416.844587,2380,-256.0
1747886483.257212,2388,-256.0
1747886516.7028458,2392,-256.0
1747886549.855541,2396,-256.0
1747886583.1718366,2400,-256.0
1747886649.5978863,2408,-256.0
1747886682.6893058,2412,-256.0
1747886715.886013,2416,-256.0
1747886781.8798237,2424,-256.0
1747886882.082124,2436,-256.0
1747886948.3958943,2444,-256.0
1747887048.0766637,2456,-256.0
1747887081.2836764,2460,-256.0
1747887147.7375538,2468,-256.0
1747887214.0872717,2476,-256.0
1747887280.6383188,2484,-256.0
1747887347.127378,2492,-256.0
1747887380.2207553,2496,-256.0
1747887480.0110497,2508,-256.0
1747887513.2575235,2512,-256.0
1747887546.3209918,2516,-256.0
1747887579.409012,2520,-256.0
1747887712.1189365,2536,-256.0
1747887778.7004952,2544,-256.0
1747887845.1031046,2552,-256.0
1747887944.604889,2564,-256.0
1747887977.865387,2568,-256.0
1747888011.2354198,2572,-256.0
1747888044.1542404,2576,-256.0
1747888077.274427,2580,-256.0
1747888110.570786,2584,-256.0
1747888243.1912572,2600,-256.0
1747888309.3361354,2608,-256.0
1747888342.3218002,2612,-256.0
1747888375.6084213,2616,-256.0
1747888408.719528,2620,-256.0
1747888442.0341656,2624,-256.0
1747888541.110905,2636,-256.0
1747888574.309971,2640,-256.0
1747888607.4051607,2644,-256.0
1747888839.380182,2672,-256.0
1747888938.841008,2684,-256.0
1747889104.6393561,2704,-256.0
1747889137.6273224,2708,-256.0
1747889170.7651865,2712,-256.0
1747889270.5382326,2724,-256.0
1747889337.0395176,2732,-256.0
1747889370.1208425,2736,-256.0
1747889403.2459877,2740,-256.0
1747889502.9455366,2752,-256.0
1747889669.3121746,2772,-256.0
1747889736.099943,2780,-256.0
1747889769.5053546,2784,-256.0
1747889803.0557399,2788,-256.0
1747889836.2455094,2792,-256.0
1747889902.723395,2800,-256.0
1747890002.227853,2812,-256.0
1747890035.4004154,2816,-256.0
1747890101.5173035,2824,-256.0
1747890234.768253,2840,-256.0
1747890268.1822712,2844,-256.0
1747890334.8942425,2852,-256.0
1747890434.6120253,2864,-256.0
1747890501.3409278,2872,-256.0
1747890567.4793882,2880,-256.0
1747890600.7994778,2884,-256.0
1747890633.0878165,2888,-256.0
1747890698.1011927,2896,-256.0
1747890763.8375068,2904,-256.0
1747890796.7398758,2908,-256.0
1747890829.8000054,2912,-256.0
1747890862.925116,2916,-256.0
1747890896.1946416,2920,-256.0
1747890962.83981,2928,-256.0
1747890995.692357,2932,-256.0
1747891028.8771083,2936,-256.0
1747891194.682515,2956,-256.0
1747891227.7418416,2960,-256.0
1747891260.8791933,2964,-256.0
1747891327.2495537,2972,-256.0
1747891360.486113,2976,-256.0
1747891393.605597,2980,-256.0
1747891426.8482008,2984,-256.0
1747891658.4857464,3012,-256.0
1747891758.2527795,3024,-256.0
1747891791.3744445,3028,-256.0
1747891857.6647837,3036,-256.0
1747892022.7219317,3056,-256.0
1747892055.9015799,3060,-256.0
1747892089.0482128,3064,-256.0
1747892188.5450485,3076,-256.0
1747892221.7665462,3080,-256.0
1747892288.035385,3088,-256.0
1747892321.0531259,3092,-256.0
1747892354.3084927,3096,-256.0
1747892420.9643111,3104,-256.0
1747892453.9606333,3108,-256.0
1747892520.0202944,3116,-256.0
1747892551.8865318,3120,-256.0
1747892583.9611745,3124,-256.0
1747892616.1170187,3128,-256.0
1747892648.5229404,3132,-256.0
1747892681.0353782,3136,-256.0
1747892845.2562225,3156,-256.0
1747892878.4876127,3160,-256.0
1747892944.5665596,3168,-256.0
1747893010.798712,3176,-256.0
1747893077.1974268,3184,-256.0
1747893110.2265143,3188,-256.0
1747893209.4068193,3200,-256.0
1747893242.5355022,3204,-256.0
1747893375.0216522,3220,-256.0
1747893408.148034,3224,-256.0
1747893441.3542974,3228,-256.0
1747893474.40195,3232,-256.0
1747893573.5226448,3244,-256.0
1747893672.573221,3256,-256.0
1747893838.2186155,3276,-256.0
1747893871.2040913,3280,-256.0
1747893937.5517914,3288,-256.0
1747893970.7542722,3292,-256.0
1747894003.8878639,3296,-256.0
1747894070.1252413,3304,-256.0
1747894103.1118376,3308,-256.0
1747894136.1323829,3312,-256.0
1747894168.9877036,3316,-256.0
1747894301.57677,3332,-256.0
1747894334.7393816,3336,-256.0
1747894400.9007194,3344,-256.0
1747894433.8013468,3348,-256.0
1747894466.9095204,3352,-256.0
1747894532.888302,3360,-256.0
1747894565.6348846,3364,-256.0
1747894631.6678598,3372,-256.0
1747894664.689392,3376,-256.0
1747894730.9988406,3384,-256.0
1747894897.059193,3404,-256.0
1747894930.153031,3408,-256.0
1747895029.2948766,3420,-256.0
1747895128.6179423,3432,-256.0
1747895227.8961613,3444,-256.0
1747895261.0094845,3448,-256.0
1747895294.2596893,3452,-256.0
1747895393.6275744,3464,-256.0
1747895426.5433583,3468,-256.0
1747895559.1379988,3484,-256.0
1747895592.3880212,3488,-256.0
1747895923.3047302,3528,-256.0
1747895989.2807884,3536,-256.0
1747896022.484485,3540,-256.0
1747896055.6459553,3544,-256.0
1747896088.9383924,3548,-256.0
1747896155.0367122,3556,-256.0
1747896221.1501942,3564,-256.0
1747896287.6033206,3572,-256.0
